User ID,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
143,5396,2420,2180,8022,990
144,582,4742,98,977,985
145,98,3121,977,359,6111
146,5695,6373,8669,5909,1403
147,6081,2069,3158,98,4130
148,6658,178,7342,990,32
149,57,98,7311,4938,977
150,7434,98,3570,5808,5355
151,6081,1834,5829,370,6281
152,7966,910,119,98,1567
153,2721,990,492,988,3895
154,98,977,856,985,801
155,4047,1810,98,2954,4330
156,8395,8022,990,988,2523
157,4504,990,5484,988,669
158,3852,8221,98,1037,4937
159,1859,98,977,43,36
160,46,6448,3893,990,1114
161,7778,542,2074,990,3582
162,2575,6448,450,3866,990
163,7541,7797,8393,7548,6254
164,5732,3292,6448,3850,5383
165,2314,98,6506,4983,698
166,98,7857,4140,3768,8595
167,4906,98,7023,4860,8204
168,6660,98,6079,3613,2564
169,990,492,5484,988,481
170,7554,98,4551,977,7342
171,4868,2932,4981,990,8412
172,46,990,7181,4278,988
173,4872,8669,7355,7176,187
174,98,6614,6672,2107,7548
175,2958,2830,990,5843,988
176,229,5682,7176,187,1717
177,3897,2498,990,8059,5399
178,7797,98,662,8393,5398
179,7541,7531,7941,779,1488
180,359,990,988,8732,1068
181,990,5078,988,4837,2181
182,2259,990,988,1479,2453
183,98,4141,8438,2484,5631
184,4524,3418,325,779,1488
185,2191,7985,977,985,3937
186,8292,98,977,985,990
187,4675,98,4401,7748,977
188,2186,397,990,2562,3931
189,591,460,3048,5640,6599
190,187,7176,1717,990,2171
191,8577,3154,6240,990,5540
192,4321,98,1102,8669,4834
193,98,1339,90,5070,566
194,98,7863,5160,7307,977
195,8139,2519,2792,5383,990
196,2916,1085,1484,990,3149
197,6293,990,8689,988,6118
198,7311,739,8238,1855,990
199,2498,3850,990,2795,8278
200,1689,98,4172,977,7393
